Country,Deaths,Date,Confirmed,Recovered,Active
US,0,2020-01-22,1,0,1
US,0,2020-01-23,1,0,1
US,0,2020-01-24,2,0,2
US,0,2020-01-25,2,0,2
US,0,2020-01-26,5,0,5
US,0,2020-01-27,5,0,5
US,0,2020-01-28,5,0,5
US,0,2020-01-29,5,0,5
US,0,2020-01-30,5,0,5
US,0,2020-01-31,7,0,7
US,0,2020-02-01,8,0,8
US,0,2020-02-02,8,0,8
US,0,2020-02-03,11,0,11
US,0,2020-02-04,11,0,11
US,0,2020-02-05,11,0,11
US,0,2020-02-06,11,0,11
US,0,2020-02-07,11,0,11
US,0,2020-02-08,11,0,11
US,0,2020-02-09,11,3,8
US,0,2020-02-10,11,3,8
US,0,2020-02-11,12,3,9
US,0,2020-02-12,12,3,9
US,0,2020-02-13,13,3,10
US,0,2020-02-14,13,3,10
US,0,2020-02-15,13,3,10
US,0,2020-02-16,13,3,10
US,0,2020-02-17,13,3,10
US,0,2020-02-18,13,3,10
US,0,2020-02-19,13,3,10
US,0,2020-02-20,13,3,10
US,0,2020-02-21,15,5,10
US,0,2020-02-22,15,5,10
US,0,2020-02-23,15,5,10
US,0,2020-02-24,15,5,10
US,0,2020-02-25,15,6,9
US,0,2020-02-26,15,6,9
US,0,2020-02-27,16,6,10
US,0,2020-02-28,16,7,9
US,1,2020-02-29,24,7,16
US,1,2020-03-01,30,7,22
US,6,2020-03-02,53,7,40
US,7,2020-03-03,73,7,59
US,11,2020-03-04,104,7,86
US,12,2020-03-05,174,7,155
US,14,2020-03-06,222,7,201
US,17,2020-03-07,337,7,313
US,21,2020-03-08,451,7,423
US,22,2020-03-09,519,7,490
US,28,2020-03-10,711,8,675
US,33,2020-03-11,1109,8,1068
US,43,2020-03-12,1561,12,1506
US,52,2020-03-13,2157,12,2093
US,58,2020-03-14,2870,12,2800
US,70,2020-03-15,2968,12,2886
US,97,2020-03-16,4360,17,4246
US,131,2020-03-17,6141,17,5993
US,188,2020-03-18,8917,105,8624
US,265,2020-03-19,14157,121,13771
US,362,2020-03-20,19479,147,18970
US,456,2020-03-21,25825,176,25193
US,601,2020-03-22,33761,178,32982
US,784,2020-03-23,43850,178,42888
US,1021,2020-03-24,54112,348,52743
US,1333,2020-03-25,66055,361,64361
US,1746,2020-03-26,84091,681,81664
US,2300,2020-03-27,102276,869,99107
US,2934,2020-03-28,122069,1072,118063
US,3561,2020-03-29,141205,2665,134979
US,4381,2020-03-30,162707,5644,152682
US,5605,2020-03-31,188724,7024,176095
US,6846,2020-04-01,214205,8474,198885
US,8432,2020-04-02,244610,9001,227177
US,9747,2020-04-03,276547,9707,257093
US,11031,2020-04-04,309699,14652,284016
US,12470,2020-04-05,337573,17448,307655
US,14138,2020-04-06,367215,19581,333496
US,16447,2020-04-07,397992,21763,359782
US,18563,2020-04-08,429686,23559,387564
US,20638,2020-04-09,464442,25410,418394
US,22731,2020-04-10,497943,28790,446422
US,24777,2020-04-11,527969,31270,471922
US,26548,2020-04-12,556522,32988,496986
US,28376,2020-04-13,581813,43482,509955
US,30780,2020-04-14,608878,47763,530335
US,33329,2020-04-15,637974,52096,552549
US,35442,2020-04-16,669272,54703,579127
US,38056,2020-04-17,701996,58545,605395
US,40442,2020-04-18,730337,64840,625055
US,41671,2020-04-19,756375,70337,644367
US,43466,2020-04-20,783716,72329,667921
US,45923,2020-04-21,809318,75204,688191
US,48312,2020-04-22,837422,77366,711744
US,50749,2020-04-23,871617,80203,740665
US,52867,2020-04-24,907908,99079,755962
US,54517,2020-04-25,940829,100372,785940
US,55810,2020-04-26,968518,106988,805720
US,57235,2020-04-27,990983,111424,822324
US,59454,2020-04-28,1015518,115936,840128
US,61960,2020-04-29,1043038,120720,860358
US,64256,2020-04-30,1072667,153947,854464
US,66125,2020-05-01,1106829,164015,876689
US,67681,2020-05-02,1136024,175382,892961
US,68777,2020-05-03,1161611,180152,912682
US,70086,2020-05-04,1184086,187180,926820
US,72393,2020-05-05,1208271,189791,946087
US,74851,2020-05-06,1233527,189910,968766
US,76770,2020-05-07,1261409,195036,989603
US,78497,2020-05-08,1288587,198993,1011097
US,79976,2020-05-09,1314320,212534,1021810
US,80855,2020-05-10,1334084,216169,1037060
US,81868,2020-05-11,1352962,232733,1038361
US,83483,2020-05-12,1375152,230287,1061382
US,85234,2020-05-13,1396110,243430,1067446
US,87008,2020-05-14,1423727,246414,1090305
US,88669,2020-05-15,1449027,250747,1109611
US,89892,2020-05-16,1474128,268376,1115860
US,90644,2020-05-17,1493132,272265,1130223
US,91414,2020-05-18,1514901,283178,1140309
US,92965,2020-05-19,1535350,289392,1152993
US,94533,2020-05-20,1559157,294312,1170312
US,95756,2020-05-21,1584512,298418,1190338
US,97025,2020-05-22,1608653,350135,1161493
US,98146,2020-05-23,1630476,361239,1171091
US,98754,2020-05-24,1651289,366736,1185799
US,99267,2020-05-25,1670280,379157,1191856
US,99952,2020-05-26,1689163,384902,1204309
US,101461,2020-05-27,1707445,391508,1214476
US,102643,2020-05-28,1730260,399991,1227626
US,103809,2020-05-29,1754764,406446,1244509
US,104778,2020-05-30,1779214,416461,1257975
US,105364,2020-05-31,1799124,444758,1249002
US,106136,2020-06-01,1816479,458231,1252112
US,107169,2020-06-02,1837374,463868,1266337
US,108159,2020-06-03,1857332,479258,1269915
US,109168,2020-06-04,1878683,485002,1284513
US,110138,2020-06-05,1903907,491706,1302063
US,110818,2020-06-06,1926639,500849,1314972
US,111269,2020-06-07,1944370,506367,1326734
US,111774,2020-06-08,1961785,518522,1331489
US,112714,2020-06-09,1979912,524855,1342343
US,113631,2020-06-10,2000706,533504,1353571
US,114512,2020-06-11,2023656,540292,1368852
US,115334,2020-06-12,2048986,547386,1386266
US,116084,2020-06-13,2074542,556606,1401852
US,116382,2020-06-14,2094366,561816,1416168
US,116773,2020-06-15,2114026,576334,1420919
US,117612,2020-06-16,2137731,583503,1436616
US,118363,2020-06-17,2163290,592191,1452736
US,119067,2020-06-18,2191099,599115,1472917
US,119739,2020-06-19,2222579,606715,1496125
US,120349,2020-06-20,2255328,617460,1517519
US,120604,2020-06-21,2281767,622133,1539030
US,121010,2020-06-22,2312303,640198,1551095
US,121847,2020-06-23,2347491,647548,1578096
US,122604,2020-06-24,2382426,656161,1603661
US,125026,2020-06-25,2422299,663562,1633711
US,125631,2020-06-26,2467554,670809,1671114
US,126120,2020-06-27,2510259,679308,1704831
US,126361,2020-06-28,2549864,685164,1738339
US,126711,2020-06-29,2590668,705203,1758754
US,127432,2020-06-30,2636414,720631,1788351
US,128105,2020-07-01,2687588,729994,1829489
US,128803,2020-07-02,2742049,781970,1831276
US,129442,2020-07-03,2795361,790404,1875515
US,129689,2020-07-04,2841241,894325,1817227
US,129960,2020-07-05,2891124,906763,1854401
US,130285,2020-07-06,2936077,924148,1881644
US,131480,2020-07-07,2996098,936476,1928142
US,132300,2020-07-08,3054699,953462,1968937
US,133290,2020-07-09,3117946,969111,2015545
US,134101,2020-07-10,3185737,983185,2068451
US,134777,2020-07-11,3245925,995576,2115572
US,135205,2020-07-12,3304942,1006326,2163411
US,135566,2020-07-13,3364157,1031939,2196652
US,136466,2020-07-14,3431574,1049098,2246010
US,137415,2020-07-15,3498902,1075882,2285605
US,138358,2020-07-16,3576157,1090645,2347154
US,139266,2020-07-17,3647715,1107204,2401245
US,140119,2020-07-18,3711413,1122720,2448574
US,140534,2020-07-19,3773260,1131121,2501605
US,141025,2020-07-20,3834677,1160087,2533565
US,142121,2020-07-21,3899211,1182018,2575072
US,143316,2020-07-22,3970121,1210849,2615956
US,144430,2020-07-23,4038816,1233269,2661117
US,145560,2020-07-24,4112531,1261624,2705347
US,146465,2020-07-25,4178970,1279414,2753091
US,146935,2020-07-26,4233923,1297863,2789125
US,148011,2020-07-27,4290259,1325804,2816444